ID,Codigo_MEN,Cualificacion,Nivel_MNC,Titulo_Otorga,Sector,Area_Cualificacion,Sigla_Area
1,2-AGRO-AYP-001,Marinero de cubierta,2,,Acuicultura y Pesca,"Agropecuario, Silvicultura, Pesca, Acuicultura y Veterinaria",AGVE
2,2-AGRO-AYP-002,Patrón de pesca artesanal,2,,Acuicultura y Pesca,"Agropecuario, Silvicultura, Pesca, Acuicultura y Veterinaria",AGVE
3,3-AGRO-AYP-003,Patrón de pesca,3,,Acuicultura y Pesca,"Agropecuario, Silvicultura, Pesca, Acuicultura y Veterinaria",AGVE
4,4-AGRO-AYP-004,Actividades de gestión de la acuicultura,4,,Acuicultura y Pesca,"Agropecuario, Silvicultura, Pesca, Acuicultura y Veterinaria",AGVE
5,4-AGRO-AYP-005,Oficial de pesca,4,,Acuicultura y Pesca,"Agropecuario, Silvicultura, Pesca, Acuicultura y Veterinaria",AGVE
6,5-AGRO-AYP-006,Oficial de pesca de altura,5,,Acuicultura y Pesca,"Agropecuario, Silvicultura, Pesca, Acuicultura y Veterinaria",AGVE
7,5-AGRO-AYP-007,Capitán de pesca de altura,5,,Acuicultura y Pesca,"Agropecuario, Silvicultura, Pesca, Acuicultura y Veterinaria",AGVE
8,6-AGRO-AYP-008,Gestión de la producción y extracción de especies acuáticas,6,,Acuicultura y Pesca,"Agropecuario, Silvicultura, Pesca, Acuicultura y Veterinaria",AGVE
9,7-AGRO-AYP-009,Investigación en acuicultura y pesca,7,,Acuicultura y Pesca,"Agropecuario, Silvicultura, Pesca, Acuicultura y Veterinaria",AGVE
10,3-AGRO-AGR-001,Producción Agricola,3,,Agrícola,"Agropecuario, Silvicultura, Pesca, Acuicultura y Veterinaria",AGVE
11,5-AGRO-AGR-002,Soporte a  actividades  productivas  agrícolas,5,,Agrícola,"Agropecuario, Silvicultura, Pesca, Acuicultura y Veterinaria",AGVE
12,6-AGRO-AGR-003,Gestión de la producción agrícola,6,,Agrícola,"Agropecuario, Silvicultura, Pesca, Acuicultura y Veterinaria",AGVE
13,6-AGRO-AGR-004,Agroecología,6,,Agrícola,"Agropecuario, Silvicultura, Pesca, Acuicultura y Veterinaria",AGVE
14,7-AGRO-AGR-005,Ciencias agrícolas,7,,Agrícola,"Agropecuario, Silvicultura, Pesca, Acuicultura y Veterinaria",AGVE
15,2-AGRO-AGR-FOR-001,Apoyo en labores de producción agrícola y forestal,2,,Agrícola y forestal,"Agropecuario, Silvicultura, Pesca, Acuicultura y Veterinaria",AGVE
16,3-AGRO–FOR-001,Producción y cosecha forestal y agroforestal.,3,,Forestal,"Agropecuario, Silvicultura, Pesca, Acuicultura y Veterinaria",AGVE
17,5-AGRO–FOR-002,Soporte en el desarrollo de proyectos forestales y agroforestales,5,,Forestal,"Agropecuario, Silvicultura, Pesca, Acuicultura y Veterinaria",AGVE
18,6-AGRO-FOR-003,Gestión de proyectos forestales,6,,Forestal,"Agropecuario, Silvicultura, Pesca, Acuicultura y Veterinaria",AGVE
19,7-AGVE-FOR-4,Agroforestería,7,,Forestal,"Agropecuario, Silvicultura, Pesca, Acuicultura y Veterinaria",AGVE
20,2-AGRO-PEC-001,Apoyo en labores auxiliares pecuarias,2,,Pecuario,"Agropecuario, Silvicultura, Pesca, Acuicultura y Veterinaria",AGVE
21,3-AGRO-PEC-002,Producción pecuaria,3,,Pecuario,"Agropecuario, Silvicultura, Pesca, Acuicultura y Veterinaria",AGVE
22,4-AGRO-PEC-003,Asistencia veterinaria,4,,Pecuario,"Agropecuario, Silvicultura, Pesca, Acuicultura y Veterinaria",AGVE
23,5-AGRO-PEC-004,"Soporte a la producción, asistencia técnica y extensión pecuaria",5,,Pecuario,"Agropecuario, Silvicultura, Pesca, Acuicultura y Veterinaria",AGVE
24,6-AGRO-PEC-005,Veterinaria,6,,Pecuario,"Agropecuario, Silvicultura, Pesca, Acuicultura y Veterinaria",AGVE
25,6-AGRO-PEC-006,Gestión de producción pecuaria. ,6,,Pecuario,"Agropecuario, Silvicultura, Pesca, Acuicultura y Veterinaria",AGVE
26,7-AGRO-PEC-007,Genética y mejoramiento animal,6,,Pecuario,"Agropecuario, Silvicultura, Pesca, Acuicultura y Veterinaria",AGVE
27,7-AGRO-PEC-008,Salud y produccion pecuaria ,7,,Pecuario,"Agropecuario, Silvicultura, Pesca, Acuicultura y Veterinaria",AGVE
28,7-Transversal-AGRO-002,Dirección agropecuaria,7,,Transversales,"Agropecuario, Silvicultura, Pesca, Acuicultura y Veterinaria",AGVE
29,4-ALYG-EDI-003,Impresión Flexográfica,4,,Cultura- Artes gráficas,Artes literarias y gráficas,ALYG
30,4-ALYG-EDI-004,Impresión serigráfica ,4,,Cultura- Artes gráficas,Artes literarias y gráficas,ALYG
31,4-ALYG-EDI-005,Impresión en offset,4,,Cultura- Artes gráficas,Artes literarias y gráficas,ALYG
32,4-ALYG-EDI-006,Encuadernación y terminado de impresos,4,,Cultura- Artes gráficas,Artes literarias y gráficas,ALYG
33,4-ALYG-EDI-007,Preparación de máquinas y materiales en procesos de impresión gráfica (Pre prensa),4,,Cultura- Artes gráficas,Artes literarias y gráficas,ALYG
34,5-ALYG-EDI-008,Supervisión de procesos en industria gráfica,5,,Cultura- Artes gráficas,Artes literarias y gráficas,ALYG
35,5-ALYG-EDI-009,Promoción de lectura,5,,Cultura- Artes gráficas,Artes literarias y gráficas,ALYG
36,5-ALYG-EDI-010,Asistencia en Diseño gráfico ,5,,Cultura- Artes gráficas,Artes literarias y gráficas,ALYG
37,6-ALYG-EDI-001,Apoyo en Labores Operativas de la Producción Gráfica,3,,Cultura- Artes gráficas,Artes literarias y gráficas,ALYG
38,6-ALYG-EDI-002,Impresión digital,4,,Cultura- Artes gráficas,Artes literarias y gráficas,ALYG
39,6-ALYG-EDI-011,Diseño gráfico,6,,Cultura- Artes gráficas,Artes literarias y gráficas,ALYG
40,6-ALYG-EDI-012,Creación de Narrativas Graficas,6,,Cultura- Artes gráficas,Artes literarias y gráficas,ALYG
41,6-ALYG-EDI-013,"Creación, edición y  crítica literaria",6,,Cultura- Artes gráficas,Artes literarias y gráficas,ALYG
42,4-AVPP-PCI-001,Carpinteria de Ribera,4,,Cultura- Patrimonio,"Artes visuales, plásticas y del patrimonio cultural",AVPP
43,4-AVPP-PCI-002,Intervención  de inmuebles construidos con tierra,4,,Cultura- Patrimonio,"Artes visuales, plásticas y del patrimonio cultural",AVPP
44,4-AVPP-PCI-003,Preparación de menús Tradicionales,4,,Cultura- Patrimonio,"Artes visuales, plásticas y del patrimonio cultural",AVPP
45,5-AVPP-MUS-001,Asistencia a museos,5,,Cultura- Patrimonio,"Artes visuales, plásticas y del patrimonio cultural",AVPP
46,5-AVPP-PCI-004,Cocina tradicional,5,,Cultura- Patrimonio,"Artes visuales, plásticas y del patrimonio cultural",AVPP
47,6-AVPP-MUS-003,Dirección y administración de museos,6,,Cultura- Patrimonio,"Artes visuales, plásticas y del patrimonio cultural",AVPP
48,6-AVPP-MUS-004,Catalogación y registro,6,,Cultura- Patrimonio,"Artes visuales, plásticas y del patrimonio cultural",AVPP
49,6-AVPP-MUS-005,Educación Museal,6,,Cultura- Patrimonio,"Artes visuales, plásticas y del patrimonio cultural",AVPP
50,6-AVPP-MUS-006,Museografía,6,,Cultura- Patrimonio,"Artes visuales, plásticas y del patrimonio cultural",AVPP
51,7-AVPP-MUS-007,Museología,7,,Cultura- Patrimonio,"Artes visuales, plásticas y del patrimonio cultural",AVPP
52,7-AVPP-MUS-008,Curaduría de arte y patrimonio cultural,7,,Cultura- Patrimonio,"Artes visuales, plásticas y del patrimonio cultural",AVPP
53,4-AVEM-TVS-001,Asistencia escenográfica y de utilería,4,,Cultura- Artes escénicas,"Audiovisuales, artes escénicas y música",AVEM
54,5-AVEM-TVS-002,Asistencia en la producción de las artes escénicas,5,,Cultura- Artes escénicas,"Audiovisuales, artes escénicas y música",AVEM
55,5-AVEM-TVS-003,Realización y montaje de escenografía y utilería  ,5,,Cultura- Artes escénicas,"Audiovisuales, artes escénicas y música",AVEM
56,5-AVEM-TVS-004,Maquillaje artístico y de efectos especiales,5,,Cultura- Artes escénicas,"Audiovisuales, artes escénicas y música",AVEM
57,5-AVEM-TVS-005,Iluminación en las artes escénicas y audiovisuales,5,,Cultura- Artes escénicas,"Audiovisuales, artes escénicas y música",AVEM
58,6-AVEM-TVS-007,Vestuario Artístico,6,,Cultura- Artes escénicas,"Audiovisuales, artes escénicas y música",AVEM
59,6-AVEM-TVS-008,Producción de eventos en las artes escénicas,6,,Cultura- Artes escénicas,"Audiovisuales, artes escénicas y música",AVEM
60,3-AVEM-AUD-001,Operación de sistemas de Proyección Digital,3,,Cultura- Audiovisuales,"Audiovisuales, artes escénicas y música",AVEM
61,4-AVEM-AUD-002,Locución y Presentación de Medios Audiovisuales,5,,Cultura- Audiovisuales,"Audiovisuales, artes escénicas y música",AVEM
62,5-AVEM-AUD-003,Supervisión de Imagen Digital,5,,Cultura- Audiovisuales,"Audiovisuales, artes escénicas y música",AVEM
63,5-AVEM-AUD-004,"Operación de Cámaras de Cine, Video y   televisión",5,,Cultura- Audiovisuales,"Audiovisuales, artes escénicas y música",AVEM
64,5-AVEM-AUD-005,Asistencia de Dirección y Producción Audiovisual,5,,Cultura- Audiovisuales,"Audiovisuales, artes escénicas y música",AVEM
65,5-AVEM-AUD-006,Edición y montaje de obras audiovisuales,6,,Cultura- Audiovisuales,"Audiovisuales, artes escénicas y música",AVEM
66,6-AVEM-AUD-007,Comunicación Audiovisual,6,,Cultura- Audiovisuales,"Audiovisuales, artes escénicas y música",AVEM
67,6-AVEM-AUD-008,Diseño y Posproducción de Sonido,6,,Cultura- Audiovisuales,"Audiovisuales, artes escénicas y música",AVEM
68,6-AVEM-AUD-009,Producción de Contenidos Audiovisuales,6,,Cultura- Audiovisuales,"Audiovisuales, artes escénicas y música",AVEM
69,6-AVEM-AUD-010,Dirección de Arte para Obras Audiovisuales,6,,Cultura- Audiovisuales,"Audiovisuales, artes escénicas y música",AVEM
70,6-AVEM-AUD-011,Dirección de Fotografía para Obras Audiovisuales ,6,,Cultura- Audiovisuales,"Audiovisuales, artes escénicas y música",AVEM
71,6-AVEM-AUD-012,Dirección de Obras Audiovisuales,6,,Cultura- Audiovisuales,"Audiovisuales, artes escénicas y música",AVEM
72,6-AVEM-AUD-013,Dirección y programación de medios,7,,Cultura- Audiovisuales,"Audiovisuales, artes escénicas y música",AVEM
73,7-AVEM-AUD-014,Investigación y producción de noticias,7,,Cultura- Audiovisuales,"Audiovisuales, artes escénicas y música",AVEM
74,7-AVEM-AUD-015,Escritura de Obras Audiovisuales,7,,Cultura- Audiovisuales,"Audiovisuales, artes escénicas y música",AVEM
75,5-AVEM-CIR-001,Artes circenses,5,,Cultura- Circo,"Audiovisuales, artes escénicas y música",AVEM
76,4-AVEM-DAN-001,Ejecucion e interpretación de la danza,4,,Cultura- Danza,"Audiovisuales, artes escénicas y música",AVEM
77,5-AVEM-DAN-002,"Asistencia coreográfica, ejecucion e interpretación de la danza",5,,Cultura- Danza,"Audiovisuales, artes escénicas y música",AVEM
78,6-AVEM-DAN-003,"Interpretación, direccion coreográfica y formación en danza ",6,,Cultura- Danza,"Audiovisuales, artes escénicas y música",AVEM
79,3-AVEM-MUS-001,Operación de sonido ,3,,Cultura- Música,"Audiovisuales, artes escénicas y música",AVEM
80,4-AVEM-MUS-002,Montaje Técnico para la producción y amplificación de sonido en vivo,4,,Cultura- Música,"Audiovisuales, artes escénicas y música",AVEM
81,4-AVEM-MUS-003,Ejecución músical,4,,Cultura- Música,"Audiovisuales, artes escénicas y música",AVEM
82,5-AVEM-MUS-004,Asistencia Técnica para la Producción de Música y Sonido,5,,Cultura- Música,"Audiovisuales, artes escénicas y música",AVEM
83,6-AVEM-MUS-005,Producción de música y sonido,6,,Cultura- Música,"Audiovisuales, artes escénicas y música",AVEM
84,6-AVEM-MUS-006," Dirección, composición e interpretación musical",6,,Cultura- Música,"Audiovisuales, artes escénicas y música",AVEM
85,6-AVEM-MUS-007,"Curaduría, Supervisión, Agendamiento y Distribución de Proyectos Musicales",6,,Cultura- Música,"Audiovisuales, artes escénicas y música",AVEM
86,7-AVEM-MUS-008,Gerencia y Dirección de Organizaciones Musicales,7,,Cultura- Música,"Audiovisuales, artes escénicas y música",AVEM
87,3-AVEM-TEA-001,Operación de Tramoya,3,,Cultura-Teatro,"Audiovisuales, artes escénicas y música",AVEM
88,4-AVEM-TEA-002,Expresión teatral,4,,Cultura-Teatro,"Audiovisuales, artes escénicas y música",AVEM
89,5-AVEM-TEA-003,Interpretación escénica,5,,Cultura-Teatro,"Audiovisuales, artes escénicas y música",AVEM
90,5-AVEM-TEA-004,Escenotecnia para las artes escénicas,5,,Cultura-Teatro,"Audiovisuales, artes escénicas y música",AVEM
91,6-AVEM-TEA-005,Actuación,6,,Cultura-Teatro,"Audiovisuales, artes escénicas y música",AVEM
92,6-AVEM-TEA-006,Diseño de iluminación artística,6,,Cultura-Teatro,"Audiovisuales, artes escénicas y música",AVEM
93,7-AVEM-TEA-007,Dirección artística teatral,7,,Cultura-Teatro,"Audiovisuales, artes escénicas y música",AVEM
94,7-AVEM-TEA-008,Dramaturgia de obras teatrales,7,,Cultura-Teatro,"Audiovisuales, artes escénicas y música",AVEM
95,7-AVEM-TEA-009,Gestión de procesos artísticos,7,,Cultura-Teatro,"Audiovisuales, artes escénicas y música",AVEM
96,2_CONS-001,Actividades de apoyo a la construcción ,2,,Construcción e Infraestructura,Construcción e Infraestructura,COIF
97,3_CONS-002,Instalación de sistemas de aislamiento térmico y acústico,3,,Construcción e Infraestructura,Construcción e Infraestructura,COIF
98,3_CONS-003,"Instalación, mantenimiento y reparación de cubiertas",3,,Construcción e Infraestructura,Construcción e Infraestructura,COIF
99,3_CONS-004,Instalación de acabados adheridos y flotados en pisos y paredes,3,,Construcción e Infraestructura,Construcción e Infraestructura,COIF
100,3_CONS-005,Aplicación de revestimientos y recubrimientos en muros y techos,3,,Construcción e Infraestructura,Construcción e Infraestructura,COIF
101,3_CONS-006,"Operación de maquinaria pesada de movimiento de tierras, pavimentación y cimentación en proyectos de edificación e infraestructura",3,,Construcción e Infraestructura,Construcción e Infraestructura,COIF
102,4_CONS-007,Ejecución de actividades complementarias de construcción y mantenimiento,4,,Construcción e Infraestructura,Construcción e Infraestructura,COIF
103,4_CONS-008,Construcción y mantenimiento de edificaciones de hasta dos niveles,4,,Construcción e Infraestructura,Construcción e Infraestructura,COIF
104,4_CONS-009,Construcción de estructuras en concreto ,4,,Construcción e Infraestructura,Construcción e Infraestructura,COIF
105,4_CONS-010,Construcción y mantenimiento de obras de infraestructura,4,,Construcción e Infraestructura,Construcción e Infraestructura,COIF
106,4_CONS-011,Construccion de mampostería ,4,,Construcción e Infraestructura,Construcción e Infraestructura,COIF
107,4_CONS-012,Instalación de redes internas de gas en proyectos de edificación,4,,Construcción e Infraestructura,Construcción e Infraestructura,COIF
108,4_CONS-013,Instalación de redes de acueducto y alcantarillado,4,,Construcción e Infraestructura,Construcción e Infraestructura,COIF
109,4_CONS-014,Instalación de redes hidráulicas y sanitarias en proyectos de edificación,4,,Construcción e Infraestructura,Construcción e Infraestructura,COIF
110,5_CONS-015,Asistencia técnica en el desarrollo de proyectos de construcción,5,,Construcción e Infraestructura,Construcción e Infraestructura,COIF
111,5_CONS-016,Supervisión de proyectos de construcción,5,,Construcción e Infraestructura,Construcción e Infraestructura,COIF
112,5_CONS-017,Levantamientos topográficos y catastrales,5,,Construcción e Infraestructura,Construcción e Infraestructura,COIF
113,5_CONS-018,Dibujo y modelado de arquitectura e ingeniería civil,5,,Construcción e Infraestructura,Construcción e Infraestructura,COIF
114,6_CONS-019,Ingeniería topográfica,6,,Construcción e Infraestructura,Construcción e Infraestructura,COIF
115,6_CONS-020,Arquitectura,6,,Construcción e Infraestructura,Construcción e Infraestructura,COIF
116,6_CONS-021,Ingeniería civil,6,,Construcción e Infraestructura,Construcción e Infraestructura,COIF
117,6-CONS-022,Diseño de redes hidrosanitarias y de protección contra incendio ,6,,Construcción e Infraestructura,Construcción e Infraestructura,COIF
118,7_CONS-023,Diseño y construcción de proyectos de infraestructura hidráulica,7,,Construcción e Infraestructura,Construcción e Infraestructura,COIF
119,7_CONS-024,Diseño y construcción de proyectos de infraestructura de vial,7,,Construcción e Infraestructura,Construcción e Infraestructura,COIF
120,7_CONS-025,Ingeniería estructural ,7,,Construcción e Infraestructura,Construcción e Infraestructura,COIF
121,7_CONS-026,Geotecnia en proyectos de edificación e infraestructura,7,,Construcción e Infraestructura,Construcción e Infraestructura,COIF
122,7_CONS-027,Diseño y construcción de proyectos de infraestructura ferroviaria,7,,Construcción e Infraestructura,Construcción e Infraestructura,COIF
123,7_CONS-028,Diseño y construcción de proyectos de infraestructura portuaria,7,,Construcción e Infraestructura,Construcción e Infraestructura,COIF
124,7_CONS-029,Arquitectura del paisaje,7,,Construcción e Infraestructura,Construcción e Infraestructura,COIF
125,7_CONS-030,Construcción sostenible en proyectos de edificación e infraestructura,7,,Construcción e Infraestructura,Construcción e Infraestructura,COIF
126,7_CONS-031,Gerencia en gestión y modelado virtual de información de la construcción,7,,Construcción e Infraestructura,Construcción e Infraestructura,COIF
127,7_CONS-032,Planificación del territorio,7,,Construcción e Infraestructura,Construcción e Infraestructura,COIF
128,7-CONS-033,Dirección de empresas de construcción,7,,Construcción e Infraestructura,Construcción e Infraestructura,COIF
129,2-EMCP-PYG-TRV-TRV-001,Apoyo a procesos del Upstream,2,,Extracción de petróleo y gas,"Exploración y Extracción De Minas, Canteras, Petróleo y Gas",EMCP
130,3-EMCP-PYG-EXP-002,Operaciones de apoyo en activación de fuente de energía en actividades petroleras.pdf,3,,Extracción de petróleo y gas,"Exploración y Extracción De Minas, Canteras, Petróleo y Gas",EMCP
131,3-EMCP-PYG-PYA-004,Operaciones asistenciales de servicio a pozos,3,,Extracción de petróleo y gas,"Exploración y Extracción De Minas, Canteras, Petróleo y Gas",EMCP
132,3-EMCP-PYG-PYC-003,Apoyo a operaciones del taladro de perforación de hidrocarburos,3,,Extracción de petróleo y gas,"Exploración y Extracción De Minas, Canteras, Petróleo y Gas",EMCP
133,4-EMCP-PYG-EXP-005 ,Asistencia técnica de procesos de exploración y desarrollo.pdf,4,,Extracción de petróleo y gas,"Exploración y Extracción De Minas, Canteras, Petróleo y Gas",EMCP
134,4-EMCP-PYG-PYA-007,"Apoyo técnico en procesos de tratamiento, separación y medición de hidrocarburos",4,,Extracción de petróleo y gas,"Exploración y Extracción De Minas, Canteras, Petróleo y Gas",EMCP
135,4-EMCP-PYG-PYC-006, Operaciones de apoyo a la Perforación y Completamiento de pozos de petróleo y gas,4,,Extracción de petróleo y gas,"Exploración y Extracción De Minas, Canteras, Petróleo y Gas",EMCP
136,5-EMCP-PYG-EXP- 008,Supervisión de procesos de exploración y desarrollo de yacimientos de petróleo y gas natural,5,,Extracción de petróleo y gas,"Exploración y Extracción De Minas, Canteras, Petróleo y Gas",EMCP
137,5-EMCP-PYG-PYA-010 ,Seguimiento de  procesos de Producción y Facilidades de hidrocarburos,5,,Extracción de petróleo y gas,"Exploración y Extracción De Minas, Canteras, Petróleo y Gas",EMCP
138,5-EMCP-PYG-PYC-009,Inspección y control de operaciones de Perforación y Completamiento,5,,Extracción de petróleo y gas,"Exploración y Extracción De Minas, Canteras, Petróleo y Gas",EMCP
139,6-EMCP-PYG-EXP-011,Gestión de proyectos de Exploración de Yacimientos de Petróleo y Gas natural,6,,Extracción de petróleo y gas,"Exploración y Extracción De Minas, Canteras, Petróleo y Gas",EMCP
140,6-EMCP-PYG-EXP-012,Gestión de proyectos de Desarrollo de Yacimientos de Petróleo y Gas natural,6,,Extracción de petróleo y gas,"Exploración y Extracción De Minas, Canteras, Petróleo y Gas",EMCP
